Palavra,Dificuldade
Gato,6
Helicóptero,8
Arraia,3
Violino,1
Abacaxi,7
Bússola,4
Carrossel,7
Micro-ondas,5
Chaleira,7
Golfinho,9
Tamanduá,6
Robô,7
Catavento,5
Estilingue,6
Tesoura,6
Escorregador,2
Cacto,5
Arlequim,3
Ovo frito,7
Cavalo-marinho,8
Pipoca,4
Antena parabólica,7
Abajur,5
Cadeira de rodas,1
Bumerangue,3
Guaxinim,3
Máquina de lavar,5
Chapéu de palha,6
Barco à vela,4
Camaleão,5
Foguete,4
Bicho-preguiça,6
Armário,8
Serra elétrica,2
Morsa,6
Bicho-de-pé,7
Skate,3
Teclado (instrumento),4
Girassol,6
Dinossauro,6
Toalha de mesa,3
Aspirador de pó,6
Caranguejo,6
Espantalho,8
Carrinho de mão,4
Dragão,1
Prisma,9
Boneca de pano,3
Esponja,2
Termômetro,7
Lupa,5
Aranha,3
Pirâmide,4
Mangueira de jardim,6
Relógio de pulso,1
Óculos escuros,1
Mochila,4
Rede de descanso,5
Bacia,9
Teia de aranha,6
Baralho,3
Toca-discos,6
Pneu,5
Caminhão,2
Totem,5
Vaso de cerâmica,5
Pêndulo,5
Fantasia (roupa),8
Balança,4
Cilindro,3
Fermento biológico,7
Martelo,7
Régua,7
Cevada,5
Ampulheta,2
Gancho,2
Disquete,6
Fita cassete,6
HD externo,7
Caixa de som,9
Chaveiro,4
Bateria (veículo),3
Chassis,4
Torneira,4
Lixadeira,2
Chapéu de chuva,5
Balaio,1
Cabide,6
Beiral,10
Tronco,3
Guarda-chuva,8
Luneta,4
Binóculo,7
Bobina,2
Painel solar,6
Óleo de cozinha,5
Almofada,6
Guarda-roupa,6
Maçarico,4
Âncora,2
Escalar montanha,1
Tocar violão,6
Pintar parede,8
Fazer massagem,4
Andar de bicicleta,7
Assar bolo,3
Fazer compras,4
Pular corda,5
Nadar peito,3
Passar roupa,10
Cortar cabelo,1
Jogar capoeira,6
Andar de skate,8
Meditar,5
Costurar,9
Jogar sinuca,3
Tirar selfie,1
Fazer yoga,5
Plantar árvore,1
Subir escada,4
Cortar lenha,6
Cuidar de bebê,5
Lavar o carro,3
Trocar lâmpada,7
Dançar forró,5
Escrever cartas,5
Fazer origami,6
Pilotar drone,2
Organizar gavetas,7
Fazer bolhas de sabão,8
Caminhar na praia,5
Jogar vôlei,6
Fazer tricô,6
Fotografar,6
Cozinhar risoto,2
Fazer reparos,6
Fazer jardinagem,7
Apontar lápis,5
Tocar piano,8
Arrumar móveis,6
Pintar aquarela,4
Jogar videogame,4
Aprender idioma,4
Fazer podcast,4
Costurar botão,1
Esconder e procurar,1
Fazer escultura,4
Lavar louça,2
Fazer playlist,6
Trocar pneu,5
Meme,3
Reality show,6
Trailer,3
Super-herói,4
Animação,4
Série de fantasia,5
Documentário,7
Clipe musical,4
Viral,3
Quadrinhos,6
Podcast,6
Websérie,6
Fanfic,3
Cosplay,6
Festival de rua,7
Grafite,3
Batalha de rap,5
Concurso de beleza,5
Desfile de moda,4
Karaokê,6
Rede social,9
Streaming,6
Avatar,5
Figurinha digital,9
Spin-off,7
Liberdade,2
Gravidade,9
Esperança,4
Justiça,4
Relatividade,7
Medo,5
Amizade,4
Preguiça,3
Culpa,6
Saudade,2
Equilíbrio,10
Fama,5
Criatividade,5
Silêncio,6
Mudança,3
Felicidade,5
Solidão,6
Tempo,8
Energia,3
Amor,4
Verdade,9
Memória,5
Caos,3
Harmonia,10
Paciência,7
